Ident,type,Count
AAD,GS,2
AAD,LOC,4
AAJ,GS,3
AAJ,LOC,1
AAM,GS,4
AAM,LOC,4
AAO,GS,5
AAO,LOC,2
AAQ,GS,9
AAQ,LOC,2
AAZ,GS,1
AAZ,LOC,1
ABE,GS,2
ABE,LOC,3
ABI,GS,1
ABI,LOC,1
ABR,GS,6
ABR,LOC,12
ABU,GS,2
ACD,LOC,2
ACJ,GS,1
ACJ,LOC,3
ACK,GS,3
ACK,LOC,19
ACT,GS,2
ACT,LOC,7
ACY,GS,2
ACY,LOC,2
ADI,GS,2
ADI,LOC,5
ADJ,GS,1
ADJ,LOC,5
ADQ,GS,9
ADQ,LOC,6
ADR,LOC,2
ADS,GS,5
ADS,LOC,10
AEG,GS,6
AEG,LOC,3
AFA,LOC,1
AFJ,GS,6
AFJ,LOC,5
AFP,GS,4
AGC,GS,1
AGC,LOC,3
AGS,GS,7
AGS,LOC,18
AGY,GS,9
AHI,LOC,3
AHN,GS,5
AHN,LOC,1
AID,LOC,4
AIW,GS,2
AIW,LOC,6
AJQ,GS,9
AJU,GS,7
AKN,GS,6
AKN,LOC,12
AKR,LOC,6
ALA,GS,1
ALB,GS,5
ALI,LOC,2
ALN,GS,5
ALO,GS,3
ALO,LOC,11
ALW,GS,2
ALW,LOC,3
AMA,GS,3
AMA,LOC,4
AMP,LOC,8
ANB,GS,5
ANB,LOC,2
ANC,GS,2
ANC,LOC,4
AND,GS,7
AND,LOC,11
ANI,GS,6
ANI,LOC,5
ANT,GS,5
ANT,LOC,11
AOD,LOC,5
AOH,GS,3
AOH,LOC,1
AOO,GS,2
APA,LOC,1
APC,GS,17
APC,LOC,4
APL,LOC,1
APN,LOC,4
APU,GS,1
AQI,GS,3
AQI,LOC,1
AQZ,GS,8
ARA,LOC,4
ARK,GS,3
ARR,LOC,4
ART,GS,4
ART,LOC,13
ASE,LOC,2
ASG,GS,3
ASG,LOC,1
ASH,GS,13
ASN,GS,1
ASN,LOC,1
AST,GS,5
ATD,GS,2
ATD,LOC,7
ATE,GS,14
ATE,LOC,15
ATL,GS,2
