Ident,runway,city,state,type,predicted_MTBO,projected_MTBO,last_MTBO,hours_since_last_outage,region,tier
AAD,28R,BOISE,ID,GS,10532,11541,10962,1449,NM,3,2710
AAD,28R,BOISE,ID,LOC,4954,6871,9470,1449,NM,3,2710
AAJ,16,BINGHAMTON,NY,GS,9097,10128,9666,6822,EA,3,2710
AAJ,16,BINGHAMTON,NY,LOC,13118,12871,10776,14211,EA,3,2710
AAM,18,FARGO,ND,GS,37396,55937,36251,14523,GL,3,2710
AAM,18,FARGO,ND,LOC,5482,4592,5555,4641,GL,3,2710
AAO,18,WICHITA,KS,GS,4656,5961,5366,2311,CE,3,2710
AAO,18,WICHITA,KS,LOC,6861,6487,8888,2637,CE,3,2710
AAQ,10,THOMSON,GA,GS,2353,2237,2342,391,SO,3,2710
AAQ,10,THOMSON,GA,LOC,19771,21179,18724,6868,SO,3,2710
AAS,23,CAMPBELLSVILL,KY,LOC,316344,-1,-1,316344,SO,,2710
AAY,22R,LITTLE ROCK,AR,GS,29969,29536,12413,91649,SW,3,2710
AAY,22R,LITTLE ROCK,AR,LOC,7731,5357,14804,18578,SW,3,2710
AAZ,12,OAKLAND,CA,GS,13679,14347,14346,5116,WP,2,2710
AAZ,12,OAKLAND,CA,LOC,13997,14495,14499,5116,WP,2,2710
ABE,06,ALLENTOWN,PA,GS,13228,12663,12625,4408,EA,3,2710
ABE,06,ALLENTOWN,PA,LOC,20724,22201,23016,4408,EA,3,2710
ABI,35R,ABILENE,TX,GS,30375,31445,29536,6608,SW,3,2710
ABI,35R,ABILENE,TX,LOC,14757,16207,14630,12132,SW,3,2710
ABK,13,INT FALLS,MN,GS,31984,35029,37085,16680,GL,X,2710
ABK,13,INT FALLS,MN,LOC,25434,31264,27622,16680,GL,X,2710
ABR,31,ABERDEEN,SD,GS,4280,903,3585,3822,GL,3,2710
ABR,31,ABERDEEN,SD,LOC,1213,1507,895,3244,GL,3,2710
ABU,27R,CHICAGO,IL,GS,10660,9036,8118,13483,GL,1,2710
ABU,27R,CHICAGO,IL,LOC,10826,10797,8418,15606,GL,1,2710
ABY,05,ALBANY,GA,GS,8240,5956,6552,26003,SO,3,2710
ABY,05,ALBANY,GA,LOC,9803,10165,4987,26003,SO,3,2710
ACD,29,GRAND JCT,CO,LOC,13768,18834,19858,7109,NM,3,2710
ACJ,23,AMERICUS,GA,GS,39252,47635,47581,14264,SO,X,2710
ACJ,23,AMERICUS,GA,LOC,4691,14658,34851,1063,SO,X,2710
ACK,24,NANTUCKET,MA,GS,6193,10620,11503,949,NE,3,2710
ACK,24,NANTUCKET,MA,LOC,425,0,354,949,NE,3,2710
ACT,19,WACO,TX,GS,12201,14187,12736,1085,SW,3,2710
ACT,19,WACO,TX,LOC,3253,3113,3078,2193,SW,3,2710
ACV,32,ARCATA,CA,GS,7454,7480,6784,21388,NM,1,2710
ACV,32,ARCATA,CA,LOC,6392,4778,3204,15936,NM,1,2710
ACX,17R,DENVER,CO,GS,21840,22500,13031,50325,NM,1,2710
ACX,17R,DENVER,CO,LOC,12050,11883,11773,50325,NM,1,2710
ACY,31,ATLANTIC CITY,NJ,GS,6214,5553,4157,11697,EA,3,2710
ACY,31,ATLANTIC CITY,NJ,LOC,11202,12120,11329,5670,EA,3,2710
ADE,16L,EUGENE,OR,GS,6666,6315,4693,18344,NM,3,2710
ADE,16L,EUGENE,OR,LOC,8393,6721,3843,22801,NM,3,2710
ADI,28L,FT LAUDERDALE,FL,GS,15343,14166,20301,468,SO,1,2710
ADI,28L,FT LAUDERDALE,FL,LOC,5456,9655,7451,468,SO,1,2710
ADJ,12,WENATCHEE,WA,GS,7468,11769,20271,14544,NM,3,2710
ADJ,12,WENATCHEE,WA,LOC,3858,4765,4807,294,NM,3,2710
ADQ,26,KODIAK,AK,GS,2405,2031,2305,1751,AL,3,2710
ADQ,26,KODIAK,AK,LOC,3526,1550,3735,1751,AL,3,2710
ADR,05,ELIZABETHTOWN,KY,GS,2496,-1,-1,2496,SO,3,2710
ADR,05,ELIZABETHTOWN,KY,LOC,10820,9796,12432,14141,SO,2,2710
ADS,15,ADDISON,TX,GS,4464,3863,4600,2814,SW,3,2710
ADS,15,ADDISON,TX,LOC,2653,2642,2510,722,SW,3,2710
AEF,25,MARION,OH,LOC,73632,74658,8777,138486,GL,,2710
AEG,22,DOUBLE EAGLE,NM,GS,1315,0,1278,4059,SW,3,2710
AEG,22,DOUBLE EAGLE,NM,LOC,9523,11398,8773,3812,SW,3,2710
AFA,27R,ATLANTA,GA,GS,34491,34007,13243,115017,SO,1,2710
AFA,27R,ATLANTA,GA,LOC,31836,32138,31568,3599,SO,1,2710
AFJ,27,WASHINGTON,PA,GS,4355,4985,4159,2717,EA,3,2710
AFJ,27,WASHINGTON,PA,LOC,4671,5018,5378,4680,EA,3,2710
AFP,34,WADESBORO,NC,GS,4502,1203,1846,13298,SO,1,2710
AFP,34,WADESBORO,NC,LOC,46246,47337,182,92310,SO,1,2710
AGC,28,ALLEGHENY,PA,GS,11691,11490,11204,3560,EA,3,2710
AGC,28,ALLEGHENY,PA,LOC,5517,5812,5652,2641,EA,3,2710
AGS,35,AUGUSTA,GA,GS,3986,2082,3798,939,SO,3,2710
AGS,35,AUGUSTA,GA,LOC,376,0,529,270,SO,3,2710
AGY,34L,RENO,NV,GS,3271,2284,2233,7061,WP,3,2710
AGY,34L,RENO,NV,LOC,14172,14854,10890,23993,WP,3,2710
AHA,07R,PHOENIX,AZ,GS,17467,17751,10769,33510,WP,1,2710
AHA,07R,PHOENIX,AZ,LOC,12806,12668,7700,29122,WP,1,2710
AHI,35R,COLORADO SPGS,CO,GS,12131,12546,6944,25946,NM,3,2710
AHI,35R,COLORADO SPGS,CO,LOC,5795,5390,5946,9818,NM,3,2710
AHN,27,ATHENS,GA,GS,16416,33300,42502,9920,SO,X,2710
AHN,27,ATHENS,GA,LOC,102023,64677,148075,9920,SO,X,2710
AID,30,ANDERSON,IN,GS,14486,13380,10327,22042,GL,3,2710
AID,30,ANDERSON,IN,LOC,7310,8456,7899,4274,GL,3,2710
AIK,07,AIKEN,SC,GS,16693,17076,12977,19516,SO,3,2710
AIK,07,AIKEN,SC,LOC,18194,18490,12467,28641,SO,3,2710
AIW,31,ARDMORE,OK,GS,16551,18301,18757,3798,SW,3,2710
AIW,31,ARDMORE,OK,LOC,4614,4491,2848,11163,SW,3,2710
AIZ,22,KAISER,MO,LOC,129420,118040,237954,20885,CE,X,2710
AJQ,35R,DAL-FT WORTH,TX,GS,2931,2563,2322,3050,SW,1,2710
AJQ,35R,DAL-FT WORTH,TX,LOC,11776,12393,11614,19451,SW,1,2710
AJU,12,DULLES,VA,GS,2885,2514,337,14169,EA,1,2710
AJU,12,DULLES,VA,LOC,16513,16750,12382,25366,EA,1,2710
AJY,10,ASHLAND,KY,LOC,393768,-1,-1,393768,EA,,2710
AKN,12,KING SALMON,AK,GS,3298,1547,1858,7514,AL,3,2710
AKN,12,KING SALMON,AK,LOC,1152,1155,1135,316,AL,3,2710
AKR,25,AKRON,OH,LOC,4318,4506,2789,7760,GL,2,2710
ALA,04L,ROMULUS,MI,GS,13050,14820,17299,4811,GL,1,2710
ALA,04L,ROMULUS,MI,LOC,10757,9186,12495,28672,GL,1,2710
ALB,19,ALBANY,NY,GS,3988,5923,6980,2652,EA,3,2710
ALB,19,ALBANY,NY,LOC,7286,4561,4272,18612,EA,3,2710
ALI,31,ALICE,TX,LOC,28910,29615,27852,7831,SW,3,2710
ALN,29,ALTON,IL,GS,3987,4411,4111,10018,GL,3,2710
ALN,29,ALTON,IL,LOC,5720,5818,1327,22882,GL,3,2710
ALO,12,WATERLOO,IA,GS,5062,5787,6863,818,CE,3,2710
ALO,12,WATERLOO,IA,LOC,1734,1521,1887,818,CE,3,2710
ALW,20,WALLA WALLA,WA,GS,8973,14557,21604,8090,NM,3,2710
ALW,20,WALLA WALLA,WA,LOC,10485,12844,12895,5807,NM,3,2710
AMA,04,AMARILLO,TX,GS,7731,11452,13302,533,SW,3,2710
AMA,04,AMARILLO,TX,LOC,5700,6045,4741,4875,SW,3,2710
AMP,01L,TAMPA,FL,GS,13455,13021,8127,28204,SO,1,2710
AMP,01L,TAMPA,FL,LOC,1563,0,1578,2242,SO,1,2710
ANB,05,ANNISTON,AL,GS,4076,4663,5351,291,SO,3,2710
ANB,05,ANNISTON,AL,LOC,9842,10240,9729,579,SO,3,2710
ANC,07R,ANCHORAGE,AK,GS,16622,18867,19082,14215,AL,2,2710
ANC,07R,ANCHORAGE,AK,LOC,13788,20254,23021,2347,AL,2,2710
AND,05,ANDERSON,SC,GS,3211,3462,2656,4088,SO,3,2710
AND,05,ANDERSON,SC,LOC,2077,2291,694,7156,SO,3,2710
ANE,27,MINNEAPOLIS,MN,GS,32560,26859,32269,33435,GL,X,2710
ANE,27,MINNEAPOLIS,MN,LOC,13729,9680,8859,45775,GL,X,2710
ANI,11,ANIAK,AK,GS,1888,1368,1637,1273,AL,3,2710
ANI,11,ANIAK,AK,LOC,4652,4775,3416,7113,AL,3,2710
ANT,13R,SAN ANTONIO,TX,GS,3506,3841,7751,9102,SW,2,2710
ANT,13R,SAN ANTONIO,TX,LOC,2735,2500,2422,1735,SW,2,2710
AOD,08L,ONTARIO,CA,GS,8612,6408,3666,29021,WP,3,2710
AOD,08L,ONTARIO,CA,LOC,3386,0,6272,9311,WP,3,2710
AOH,28,LIMA,OH,GS,5764,5963,8764,12768,GL,3,2710
AOH,28,LIMA,OH,LOC,9719,9931,10578,3245,GL,3,2710
AOO,21,ALTOONA,PA,GS,8335,8955,9623,2478,EA,3,2710
AOO,21,ALTOONA,PA,LOC,8776,7351,3787,25614,EA,3,2710
APA,35R,ENGLEWOOD,CO,GS,6659,6227,2883,20098,NM,3,2710
APA,35R,ENGLEWOOD,CO,LOC,9681,9907,9638,11890,NM,3,2710
APC,01L,NAPA,CA,GS,495,658,452,222,WP,3,2710
APC,01L,NAPA,CA,LOC,6551,6950,5283,6345,WP,3,2710
APL,04,MINNEAPOLIS,MN,LOC,19903,19995,23219,13272,GL,1,2710
APN,01,ALPENA,MI,GS,12724,12767,3931,46643,GL,3,2710
APN,01,ALPENA,MI,LOC,5883,5072,4539,7589,GL,3,2710
APU,23,CHARLOTTE,NC,GS,11511,10754,8888,14148,SO,1,2710
APU,23,CHARLOTTE,NC,LOC,12141,12512,3106,46442,SO,1,2710
AQD,35L,DENVER,CO,GS,55423,57114,28531,109209,NM,1,2710
AQD,35L,DENVER,CO,LOC,35735,41156,31839,28258,NM,1,2710
AQI,10R,COLUMBUS,OH,GS,8860,9226,8286,3245,GL,2,2710
AQI,10R,COLUMBUS,OH,LOC,21816,23214,28257,8933,GL,2,2710
AQZ,30,APPLETON,WI,GS,1836,1032,1020,4134,GL,3,2710
AQZ,30,APPLETON,WI,LOC,4971,5368,2499,15651,GL,3,2710
