AAA1,BBB2,CCC3,DDD4,EEE5,FFF6,GGG7,HHH8,III9,JJJ10
AAY,GS,0,22R,LITTLE ROCK,AR,30622,SW,III,ESA
AAY,LOC,0,22R,LITTLE ROCK,AR,8384,SW,III,ESA
ABE,GS,0,06,ALLENTOWN,PA,13881,EA,???,ESA
ABE,LOC,0,06,ALLENTOWN,PA,21377,EA,???,ESA
ABU,GS,0,27R,CHICAGO,IL,11313,GL,III,CSA
ABU,LOC,1,27R,CHICAGO,IL,11374,GL,III,CSA
AJQ,GS,0,35R,DAL-FT WORTH,TX,3584,SW,III,CSA
AJQ,LOC,0,35R,DAL-FT WORTH,TX,12429,SW,III,CSA
AMP,GS,0,01L,TAMPA,FL,14108,SO,III,ESA
AMP,LOC,0,01L,TAMPA,FL,2215,SO,III,ESA
ANC,GS,0,07R,ANCHORAGE,AK,17275,AL,III,WSA
ANC,LOC,0,07R,ANCHORAGE,AK,14441,AL,III,WSA
ANT,GS,2,13R,SAN ANTONIO,TX,2599,SW,II,CSA
ANT,LOC,0,13R,SAN ANTONIO,TX,3388,SW,II,CSA
AQD,GS,0,35L,DENVER,CO,56511,NM,III,WSA
AQD,LOC,0,35L,DENVER,CO,36387,NM,III,WSA
AQI,GS,1,10R,COLUMBUS,OH,9473,GL,???,CSA
AQI,LOC,0,10R,COLUMBUS,OH,22904,GL,???,CSA
ARJ,GS,1,23,WARWICK,RI,15745,NE,???,ESA
ARJ,LOC,0,23,WARWICK,RI,20047,NE,???,ESA
ARK,GS,0,17L,ORLANDO,FL,10539,SO,III,ESA
ARK,LOC,0,17L,ORLANDO,FL,17720,SO,III,ESA
ATD,GS,0,06L,DAYTON,OH,6748,GL,III,CSA
ATD,LOC,1,06L,DAYTON,OH,2379,GL,III,CSA
BAL,GS,0,10,BALTIMORE,MD,10728,EA,III,ESA
BAL,LOC,0,10,BALTIMORE,MD,7979,EA,III,ESA
BDL,GS,0,06,WINDSOR LOCKS,CT,24051,NE,III,ESA
BDL,LOC,0,06,WINDSOR LOCKS,CT,7543,NE,III,ESA
BEJ,GS,1,34L,SEATTLE,WA,39846,NM,???,WSA
BEJ,LOC,0,34L,SEATTLE,WA,23891,NM,???,WSA
BGR,GS,2,33,BANGOR,ME,2686,NE,???,ESA
BGR,LOC,0,33,BANGOR,ME,9426,NE,???,ESA
BHM,GS,0,06,BIRMINGHAM,AL,3358,SO,II,ESA
BHM,LOC,1,06,BIRMINGHAM,AL,2889,SO,II,ESA
BIV,GS,0,26,HOLLAND,MI,15167,GL,II,CSA
BMA,GS,0,35,MINNEAPOLIS,MN,24122,GL,III,CSA
BMA,LOC,0,35,MINNEAPOLIS,MN,7971,GL,III,CSA
BNA,GS,0,02L,NASHVILLE,TN,32407,SO,III,ESA
BNA,LOC,0,02L,NASHVILLE,TN,4830,SO,III,ESA
BNE,GS,0,34,RICHMOND,VA,6885,EA,III,ESA
